,smiles,CIDs,ROMol
1,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N,5344,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a3207b0>
2,CC1=C(ON=C1C)N(C(=O)C)S(=O)(=O)C2=CC=C(C=C2)N,6662,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a321070>
3,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,65280,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a321000>
4,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NO,114821,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320120>
5,CC1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)F,99331,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a3204a0>
6,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N=O,125483,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320660>
7,CC1=CC=C(C=C1)S(=O)(=O)NC2=NOC(=C2)C,705643,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320970>
8,CC1=CC(=NO1)NS(=O)(=O)C2=CC(=C(C=C2Cl)Cl)Cl,4596756,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a3209e0>
9,CC1=C(ON=C1NS(=O)(=O)C2=CC=C(C=C2)N)C,31771,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a322340>
11,CC1=CC(=C(C(=C1)C)S(=O)(=O)NC2=NOC(=C2)C)C,577223,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a321930>
12,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)OC,694829,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a3218c0>
13,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C3CCCCC3,1181036,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a321850>
14,CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C(C)C,678193,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a321770>
15,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=CC=C2,2813558,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320d60>
16,C1=CC(=CC=C1S(=O)(=O)NC2=NOC=C2)Br,6470079,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a3206d0>
17,CCCC(=O)NC(C(F)(F)F)(C(F)(F)F)NC1=CC=C(C=C1)S(=O)(=O)NC2=NOC(=C2)C,536471,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320ba0>
18,CCCCC1=CC=C(C=C1)S(=O)(=O)NC2=NOC(=C2)C,562945,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320b30>
19,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=S)NC(=O)C=CC3=CC=CC=C3,1949759,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320ac0>
20,CC1=CC=C(C=C1)NC(=S)NC2=NOC(=C2)C,2730383,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320900>
21,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2=NOC(=C2)C(C)(C)C,2813928,<rdkit.Chem.rdchem.Mol object at 0x7c8a5a320510>
